exp_id,page_id,time,fixation
579,1214,7,"[[1049.0, 381.0, 316, 57019, 57335], [1186.5, 381.0, 459, 57427, 57886], [1239.0, 381.0, 240, 57916, 58156], [1240.857142857143, 381.0, 200, 58185, 58385], [1597.076923076923, 381.0, 332, 58859, 59191], [1560.25, 381.0, 209, 59216, 59425], [1704.5, 381.0, 313, 59502, 59815], [495.0, 433.0, 275, 61183, 61458], [733.6666666666666, 433.0, 638, 61625, 62263], [839.8888888888889, 433.0, 220, 62345, 62565], [1006.75, 433.0, 662, 63179, 63841], [1269.7, 433.0, 263, 64181, 64444], [1230.75, 433.0, 221, 64474, 64695], [1345.5555555555557, 433.0, 221, 64792, 65013]]"
579,1214,8,"[[1425.5263157894738, 433.0, 545, 65047, 65592], [1599.0, 433.0, 200, 65827, 66027], [1658.0, 433.0, 266, 66094, 66360], [356.7142857142857, 485.0, 209, 67103, 67312], [497.7692307692308, 485.0, 311, 67852, 68163], [360.75, 485.0, 308, 68243, 68551], [579.1904761904761, 485.0, 551, 69169, 69720], [646.6666666666666, 485.0, 221, 69746, 69967], [571.1764705882352, 485.0, 454, 70030, 70484], [740.2222222222222, 485.0, 219, 70656, 70875], [856.3103448275862, 485.0, 752, 71123, 71875], [910.5454545454545, 485.0, 277, 71899, 72176], [1097.6666666666667, 485.0, 416, 72439, 72855], [1216.0, 485.0, 411, 72964, 73375]]"
579,1214,9,"[[1216.0, 485.0, 411, 72964, 73375], [1282.4736842105262, 485.0, 532, 73405, 73937], [1419.6, 485.0, 269, 74337, 74606], [1437.3076923076924, 485.0, 375, 74637, 75012], [1612.2777777777778, 485.0, 529, 75140, 75669], [384.7142857142857, 537.0, 234, 76735, 76969], [358.25, 537.0, 213, 76997, 77210], [501.4166666666667, 537.0, 306, 77568, 77874], [454.6, 537.0, 250, 78854, 79104], [427.84615384615387, 537.0, 308, 79234, 79542], [373.6666666666667, 537.0, 217, 80591, 80808]]"
579,1214,10,"[[381.77777777777777, 537.0, 201, 81758, 81959], [498.8888888888889, 537.0, 233, 82159, 82392], [462.75, 537.0, 205, 82477, 82682], [499.22222222222223, 537.0, 209, 82712, 82921], [649.8333333333334, 537.0, 322, 83039, 83361], [602.125, 537.0, 216, 83415, 83631], [836.0666666666667, 537.0, 407, 84498, 84905], [951.3846153846154, 537.0, 375, 85053, 85428], [834.5, 589.0, 291, 85530, 85821], [899.1666666666666, 589.0, 200, 85846, 86046], [943.8461538461538, 589.0, 401, 86083, 86484], [1018.5, 589.0, 567, 86515, 87082], [1076.2, 589.0, 366, 87112, 87478], [1196.0, 589.0, 243, 87938, 88181], [1060.4444444444443, 589.0, 206, 88296, 88502], [1251.55, 589.0, 517, 88678, 89195]]"
579,1214,11,"[[1263.6666666666667, 589.0, 216, 89231, 89447], [1513.0666666666666, 589.0, 401, 89747, 90148], [1599.090909090909, 589.0, 293, 90246, 90539], [554.2, 641.0, 249, 91592, 91841], [510.4, 641.0, 248, 92010, 92258], [611.6153846153846, 641.0, 348, 92491, 92839], [541.8888888888889, 641.0, 230, 92947, 93177], [666.875, 641.0, 210, 93229, 93439], [721.9090909090909, 641.0, 280, 93463, 93743], [997.8, 641.0, 255, 94284, 94539], [923.8333333333334, 641.0, 367, 94572, 94939], [923.3809523809524, 641.0, 671, 94971, 95642], [1076.4, 641.0, 305, 95893, 96198], [1220.0, 641.0, 201, 96457, 96658], [1245.75, 641.0, 312, 96688, 97000]]"
579,1214,12,"[[1346.0, 641.0, 200, 97488, 97688], [1414.25, 641.0, 216, 97714, 97930], [1461.909090909091, 641.0, 315, 97966, 98281], [1421.0, 641.0, 438, 98311, 98749], [1643.7, 641.0, 254, 98953, 99207], [551.5, 693.0, 201, 99531, 99732], [501.6666666666667, 693.0, 209, 100136, 100345], [565.4444444444445, 693.0, 211, 100601, 100812], [604.0769230769231, 693.0, 320, 100842, 101162], [536.8333333333334, 693.0, 294, 101191, 101485], [827.5555555555555, 693.0, 222, 102212, 102434], [836.4705882352941, 693.0, 451, 102465, 102916], [1056.3333333333333, 693.0, 254, 103087, 103341], [920.75, 693.0, 215, 103705, 103920], [1163.2222222222222, 693.0, 235, 104184, 104419], [1218.5555555555557, 693.0, 251, 104448, 104699], [1262.6, 693.0, 264, 104735, 104999], [1347.3, 693.0, 296, 105036, 105332]]"
579,1214,13,"[[1441.090909090909, 693.0, 333, 105437, 105770], [1490.2857142857142, 693.0, 202, 105799, 106001], [1606.857142857143, 693.0, 211, 106119, 106330], [389.45454545454544, 745.0, 287, 107206, 107493], [561.5454545454545, 745.0, 332, 107636, 107968], [530.7, 745.0, 255, 108342, 108597], [906.0, 745.0, 531, 109149, 109680], [1032.3333333333333, 745.0, 222, 109823, 110045], [1073.111111111111, 745.0, 219, 110072, 110291], [1331.3333333333333, 745.0, 227, 111144, 111371], [1195.1666666666667, 745.0, 300, 111494, 111794], [1342.6315789473683, 745.0, 503, 111943, 112446], [1409.909090909091, 745.0, 591, 112506, 113097], [1484.6363636363637, 745.0, 288, 113129, 113417]]"
579,1214,14,"[[1506.1875, 745.0, 434, 113447, 113881], [1044.5, 745.0, 207, 114726, 114933], [1230.6818181818182, 745.0, 688, 115109, 115797], [1315.0, 745.0, 308, 115900, 116208], [1450.388888888889, 745.0, 433, 116879, 117312], [1608.6666666666667, 745.0, 208, 119431, 119639], [668.0909090909091, 797.0, 287, 120621, 120908]]"
579,1214,15,"[[664.3333333333334, 797.0, 217, 121574, 121791], [522.1, 797.0, 272, 121931, 122203], [754.125, 797.0, 212, 122502, 122714], [789.625, 797.0, 881, 122738, 123619], [752.75, 797.0, 220, 123782, 124002], [1130.2222222222222, 797.0, 219, 124262, 124481], [1067.6, 797.0, 280, 124508, 124788], [1116.7142857142858, 797.0, 221, 124818, 125039], [1082.75, 797.0, 227, 125062, 125289], [1073.7142857142858, 797.0, 200, 125319, 125519], [1157.142857142857, 797.0, 437, 125569, 126006]]"
579,1214,16,"[[367.07142857142856, 849.0, 362, 129357, 129719], [664.1666666666666, 849.0, 307, 130145, 130452], [376.7692307692308, 849.0, 329, 130775, 131104], [599.4615384615385, 849.0, 342, 131379, 131721], [670.6190476190476, 849.0, 593, 131750, 132343], [911.0769230769231, 849.0, 352, 133046, 133398], [1080.625, 849.0, 221, 133677, 133898], [1096.375, 849.0, 205, 133927, 134132], [1199.4, 849.0, 253, 134345, 134598], [1282.0714285714287, 849.0, 466, 134628, 135094], [1204.1666666666667, 849.0, 200, 135711, 135911], [1143.2222222222222, 849.0, 206, 136920, 137126]]"
